2217989,11931,3,YMCA of Greater Seattle - Regional Branches,YMCA of Greater Seattle - Snoqualmie Valley YMCA,35018 SE Ridge St,,Snoqualmie,98065,http://seattleymca.org,Teen Programs,NULL,Teen Programs,NULL,"Provides activities for teens that shape values and encourage life-long community service. ""Asset Building"" approach helps teens develop skills for success.","Provides activities for teens that shape values and encourage life-long community service. ""Asset Building"" approach helps teens develop skills for success. Programs and services include outdoor activities; arts and humanities; education, employment and school-based programs; fitness, recreation and after school programs; leadership development, service and civic engagement; and volunteer opportunities.",@&,^Education;^Employment & Job Training;^Leadership & Volunteer Opportunities
2217994,11931,3,YMCA of Greater Seattle - Regional Branches,YMCA of Greater Seattle - Metrocenter YMCA,909 4th Ave,Army and Navy Entrance,Seattle,98104,http://seattleymca.org,Teen Programs,NULL,Teen Programs,NULL,"Provides activities for teens that shape values and encourage life-long community service. ""Asset Building"" approach helps teens develop skills for success.","Provides activities for teens that shape values and encourage life-long community service. ""Asset Building"" approach helps teens develop skills for success. Programs and services include outdoor activities; arts and humanities; education, employment and school-based programs; fitness, recreation and after school programs; leadership development, service and civic engagement; and volunteer opportunities.",@&,^Education;^Employment & Job Training;^Leadership & Volunteer Opportunities
2218469,2220,20,Swedish Medical Center - First Hill,*Main Site - Swedish Medical Center - First Hill,747 Broadway,,Seattle,98122,http://swedish.org/Locations/First-Hill-Campus,Nurse Consulting Line,NULL,Nurse Consulting Line,NULL,"Consulting nurse will answer questions from Swedish Medical Center (SMC) potential patients, patients and the general public about health concerns.","Consulting nurse will answer questions from Swedish Medical Center (SMC) potential patients, patients and the general public about health concerns. Service provided 24 hours/day.",@&,^Don't Map This Resource;^Health Concerns
2218765,5110,6,Northwest Justice Project,*Main Site - Northwest Justice Project - King County Office,401 2nd Ave S,Suite 407,Seattle,98104,http://nwjustice.org,www.washingtonlawhelp.org,http://www.washingtonlawhelp.org,www.washingtonlawhelp.org,Provides a website with legal education materials and tools that give basic information on a number of legal problems.,Provides legal education materials and tools that give basic information on a number of legal problems.,NULL,NULL,^Legal Services & Youth Rights
2218849,2393,1,Auburn Youth Resources - South King County Youth Shelter,*Main Site - Auburn Youth Resources - South King County Youth Shelter,1424 Auburn Way S,,Auburn,98002,http://ayr4kids.org,Shelter Services,NULL,Shelter Services,"Provides shelter for homeless and runaway youth, ages 10-17; written parental consent required for stays longer than 72 hours. Sliding scale fee available; free for families that are unable to pay.","Provides shelter for homeless and runaway youth, ages 10-17; written parental consent required for stays longer than 72 hours. Call for information.","Provides emergency shelter for homeless youth, ages 10-17. Written parental consent required for stays longer than 72 hours. Admittance on a first-come, first-served basis. Call for information.",South King County Youth Shelter / Auburn Youth Resources  ,"^Homelessness & Runaways, Shelters"
2218906,3221,1,King County Bar Association - Neighborhood Clinics,*Main Site - King County Bar Association - Neighborhood Clinics,1200 5th Ave,Suite 700,Seattle,98101,http://kcba.org/pbs/nlc.aspx,General Legal Clinics,NULL,General Legal Clinics,"Operates legal clinics where free 30-minute legal consultations are available for individuals who are not already represented by an attorney. If needed, a client may be referred to further legal services. Call for an appointment. No fees.",Operates legal clinics where free 30-minute legal consultations are available for individuals who are not already represented by an attorney.,Operates legal clinics where free 30-minute legal consultations are available for individuals who are not already represented by an attorney. Attorneys will not represent clients in court but will provide appropriate referrals and support based on client's situation. Call for an appointment. Available to King County residents or those with a case filed in King County.,Neighborhood Legal Clinics / King County Bar Association,^Legal Services & Youth Rights
2218912,3221,14,King County Bar Association - Neighborhood Clinics,KCBA - SASG - GLBT Legal Clinic,303 17th Ave E,,Seattle,98112,http://kcba.org/pbs/nlc.aspx,GLBT Legal Clinic,http://www.q-law.org/LegalClinic,GLBT Legal Clinic,"Hosts a free legal clinic once a month that provides information in a variety of areas including family law, debt and bankruptcy, divorce/dissolution, employment discrimination, and transgender legal issues.","Hosts a free legal clinic once a month that provides information in a variety of areas including family law, debt and bankruptcy, divorce/dissolution, employment discrimination, and transgender legal issues.",NULL,NULL,^GLBTQ;^Legal Services & Youth Rights
2218918,3221,16,King County Bar Association - Neighborhood Clinics,KCBA - Asian Counseling and Referral Service,3639 MLK Jr Way S,,Seattle,98144,http://kcba.org/pbs/nlc.aspx,Asian Pacific Islander Legal Clinic,NULL,Asian Pacific Islander Legal Clinic,"Provides free 30-minute legal consultations on immigration, powers of attorney and employment, among other topics, for individuals who are not already represented by an attorney; primarily serves Asians/Pacific Islanders.","Provides free 30-minute legal consultations on immigration, powers of attorney and employment, among other topics, for individuals who are not already represented by an attorney; primarily serves Asians/Pacific Islanders.",NULL,NULL,^Culturally Specific Agencies;^Legal Services & Youth Rights
2219477,2688,5,POCAAN - People of Color Against AIDS Network,*Main Site - POCAAN - People of Color Against AIDS Network,1820 E Pine St,,Seattle,98122,http://pocaan.org,Konnect II,http://www.pocaan.org/konnect.html,Konnect II,"Helps and assists HIV+ individuals of color who are newly diagnosed, at-risk or not receiving care. Refers to health and social service resources, education, information and weekly support groups. No fees.","Helps and assists HIV+ individuals of color who are newly diagnosed, at-risk or not receiving care. Refers to health and social service resources, education, information and weekly support groups.","Aids and assists HIV+ individuals of color who are newly diagnosed, at-risk or not receiving care. Refers to  health and social service resources, education, information and weekly support groups. Primarily serves HIV+ individuals of color and their family members.",&Konnect II HIV/AIDS Support,^Culturally Specific Agencies;^STIs (including HIV/AIDS)
2219525,13257,3,Chinese Information and Service Center,*Main Site - Chinese Information and Service Center - Seattle,611 S Lane St,,Seattle,98104,http://cisc-seattle.org,International Family Center,http://www.cisc-seattle.org,International Family Center,"Hosts social service agencies providing intergenerational, cross-cultural and community-building activities; includes legal workshops, bilingual assistance, parenting classes and support groups.","Hosts social service agencies providing intergenerational, cross-cultural and community-building activities; includes legal workshops, bilingual assistance, parenting classes and support groups.","Hosts social service agencies providing intergenerational, cross-cultural and community-building activities. Services include: referral and advocacy assistance, youth development classes, new immigrant orientation workshops, legal workshops, employment training, and support groups. Primarily serves limited-English-speaking Chinese and other Asian individuals and their families.",&Chinese International Family Center,^Culturally Specific Agencies
2219527,13257,5,Chinese Information and Service Center,*Main Site - Chinese Information and Service Center - Seattle,611 S Lane St,,Seattle,98104,http://cisc-seattle.org,Multigenerational Programs,NULL,Multigenerational Programs,"Provides preschool and youth programs to enhance academic achievement and bicultural identity, as well as bilingual parent education, family counseling and caregiver support to help bridge generational and cultural differences.","Provides preschool and youth programs to enhance academic achievement and bicultural identity, as well as bilingual parent education, family counseling and caregiver support to help bridge generational and cultural differences.","Provides youth programs to enhance academic achievement and bicultural identity, as well as bilingual parent education, family counseling, and caregiver support to help bridge generational and cultural differences. Primarily serves limited-English-speaking Chinese and other Asian individuals and families.",&Chinese Multigenerational Programs,^Culturally Specific Agencies
2219553,1788,1,Lambert House,*Main Site - Lambert House,1818 15th Ave,,Seattle,98122,http://lamberthouse.org,Community/Recreation Center,NULL,Community/Recreation Center,NULL,"Provides services to LGBTQI youth such as movies and activities, support and education, mentorship, meals, and a computer lab and library.","Provides LGBTQI youth ages 11-22 with opportunities to makes friends with other youth like themselves. Offers supervised social space daily, dinners, dances and performance events, and discussion groups several times a week. Provides individual and group HIV and STI-prevention education, individual and family counseling and a healthy relationships seminar.",&GLBTQ Community Center,^GLBTQ;^Recreation & Youth Involvement
2219556,1788,5,Lambert House,*Main Site - Lambert House,1818 15th Ave,,Seattle,98122,http://lamberthouse.org,LGBTQI Homeless Youth Services Drop-In Center,NULL,LGBTQI Homeless Youth Services Drop-In Center,"Offers showers, laundry, toiletries, clothing and HIV/STI prevention education. Provides case management as well as referrals to shelter, transitional housing, and medical and drug/alcohol treatment. For LGBTQI homeless youth only.","Offers showers, laundry, toiletries, bus tickets, emergency clothing and HIV/STI prevention education. Provides case management as well as referrals to emergency shelter, transitional housing and medical and drug/alcohol treatment.","Offers showers, laundry, toiletries, bus tickets, emergency clothing and HIV/STI prevention education for gay, lesbian, bisexual, questioning and transgender youth, ages 11 through 22.. Provides case management, and referrals to emergency shelter, transitional housing and medical and drug/alcohol treatment.",@&,"^GLBTQ;^Homelessness & Runaways, Other Helpful Services"
2219605,1929,10,Jewish Family Service,*Main Site - Jewish Family Service - Seattle,1601 16th Ave,,Seattle,98122,http://jfsseattle.org,Counseling Services,http://www.jfsseattle.org,Counseling Services,"Offers counseling for adults, children and adolescents related to depression, anxiety, PTSD, trauma, parenting relationships and life transitions. Services sensitive to Jewish community. Offers sliding scale fees; accepts insurance.","Offers counseling for adults, children and adolescents related to depression, anxiety, PTSD, trauma, parenting relationships and life transitions. Services sensitive to Jewish community.","Offers individual and family counseling for adolescents related to depression, anxiety, PTSD, trauma, parenting relationships and life transitions. Services sensitive to Jewish community. Offers sliding scale fees; accepts insurance. Call for an appointment.",Jewish Family Services Counseling Services,^Counseling;^Culturally Specific Agencies
2219614,1929,10,Jewish Family Service,Jewish Family Service - Eastside Branch and Multi-Ethnic Center,15821 NE 8th St,Suite 210,Bellevue,98008,http://jfsseattle.org,Counseling Services,http://www.jfsseattle.org,Counseling Services,"Offers counseling for adults, children and adolescents related to depression, anxiety, PTSD, trauma, parenting relationships and life transitions. Services sensitive to Jewish community. Offers sliding scale fees; accepts insurance.","Offers counseling for adults, children and adolescents related to depression, anxiety, PTSD, trauma, parenting relationships and life transitions. Services sensitive to Jewish community.","Offers individual and family counseling for adolescents related to depression, anxiety, PTSD, trauma, parenting relationships and life transitions. Services sensitive to Jewish community. Offers sliding scale fees; accepts insurance. Call for an appointment.",Jewish Family Services Counseling Services,^Counseling;^Culturally Specific Agencies
2219663,13419,3,Youth Housing Connection,*Main Site - Youth Housing Connection,9725 3rd Ave NE,Suite 300,Seattle,98115,www.ccsyhc.org,YHC - Drop-in Referrals,http://www.ccsyhc.org/en/assessment-information/assessment-schedule/,YHC - Drop-in Referrals,Family Housing Connection is the single entry point in King County for families and pregnant women to enter emergency housing. Call to schedule an appointment with a Housing Specialist.,"2-1-1 is a clearinghouse for information about Youth Housing Connection agencies and screening times for transitional housing for young adults, 18-25. Refer to this service when telling callers about screening times and locations.","Provides a system for individual homeless young adults ages 18-25 seeking housing in King County. Young adults seeking housing can be screened at one of the participating youth agencies. Walk in during one of the scheduled screening times at one of the participating agencies or make an appointment in advance. If a young adult is not connected to a youth agency, they should call 2-1-1 for contact information. The appointment will take about one hour (appointments with interpretation services will take two hours).",&Drop-In Referrals,"^Don't Map This Resource;^Homelessness & Runaways, Transitional Housing"
2219741,3044,7,Alliance of People with disAbilities,*Main Site - Alliance of People with disAbilities - Seattle,1120 E Terrace St,Suite 100,Seattle,98122,http://disabilitypride.org,Youth in Transition,NULL,Youth in Transition,"Works with teens and young adults, 13-24, with all types of disabilities to help them develop skills in the areas of education, employment, housing, health care and wellness, and money management.","Works with teens and young adults with all types of disabilities to help them develop skills in the areas of education, employment, housing, health care and wellness, and money management.",NULL,&Youth in Transition Independent Living Skills,^People with Disabilities
2219747,3044,7,Alliance of People with disAbilities,Alliance of People with disAbilities - East King County,1150 140th Ave NE,Suite 101,Bellevue,98005,http://disabilitypride.org,Youth in Transition,NULL,Youth in Transition,"Works with teens and young adults, 13-24, with all types of disabilities to help them develop skills in the areas of education, employment, housing, health care and wellness, and money management.","Works with teens and young adults with all types of disabilities to help them develop skills in the areas of education, employment, housing, health care and wellness, and money management.",NULL,&Youth in Transition Independent Living Skills,^People with Disabilities
2219922,5602,4,Public Health - Seattle & King County - Public Health Centers,Public Health - Seattle & King County - Auburn,901 Auburn Way N,Suite A,Auburn,98002,http://kingcounty.gov/healthservices/health/locations.aspx,Family Planning/STD Clinic,http://www.kingcounty.gov/healthservices/health/locations/famplan.aspx,Family Planning/STD Clinic,"Provides birth control, pregnancy tests, counseling about pregnancy, adoption and abortion, and sexually transmitted disease (STD) testing including HIV tests. Offers sliding scale fees. Accepts Medicaid and Take Charge.","Provides birth control, pregnancy tests, counseling about pregnancy, adoption and abortion, and sexually transmitted disease (STD) testing including HIV tests.",NULL,NULL,^Birth Control/Family Planning/Pregnancy
2219925,5602,9,Public Health - Seattle & King County - Public Health Centers,Public Health - Seattle & King County - Auburn,901 Auburn Way N,Suite A,Auburn,98002,http://kingcounty.gov/healthservices/health/locations.aspx,Teen Clinic,http://www.teenclinic.com,Teen Clinic,"Provides confidential family planning services for youth, ages 20 and under. Offers birth control information and supplies, STD tests, including HIV, and pregnancy testing and counseling. Accepts Take Charge, Medicaid and insurance.","Provides confidential family planning services for youth, ages 20 and under. Offers birth control information and supplies, STD tests, pregnancy testing and counseling and emergency contraception.",NULL,NULL,^Health Concerns
2219927,5602,4,Public Health - Seattle & King County - Public Health Centers,Public Health - Seattle & King County - Columbia,4400 37th Ave S,,Seattle,98118,http://kingcounty.gov/healthservices/health/locations.aspx,Family Planning/STD Clinic,http://www.kingcounty.gov/healthservices/health/locations/famplan.aspx,Family Planning/STD Clinic,"Provides birth control, pregnancy tests, counseling about pregnancy, adoption and abortion, and sexually transmitted disease (STD) testing including HIV tests. Offers sliding scale fees. Accepts Medicaid and Take Charge.","Provides birth control, pregnancy tests, counseling about pregnancy, adoption and abortion, and sexually transmitted disease (STD) testing including HIV tests.",NULL,NULL,^Birth Control/Family Planning/Pregnancy
2219932,5602,9,Public Health - Seattle & King County - Public Health Centers,Public Health - Seattle & King County - Columbia,4400 37th Ave S,,Seattle,98118,http://kingcounty.gov/healthservices/health/locations.aspx,Teen Clinic,http://www.teenclinic.com,Teen Clinic,"Provides confidential family planning services for youth, ages 20 and under. Offers birth control information and supplies, STD tests, including HIV, and pregnancy testing and counseling. Accepts Take Charge, Medicaid and insurance.","Provides confidential family planning services for youth, ages 20 and under. Offers birth control information and supplies, STD tests, pregnancy testing and counseling and emergency contraception.",NULL,NULL,^Health Concerns
2219943,5602,4,Public Health - Seattle & King County - Public Health Centers,Public Health - Seattle & King County - Eastgate,14350 SE Eastgate Way,,Bellevue,98007,http://kingcounty.gov/healthservices/health/locations.aspx,Family Planning/STD Clinic,http://www.kingcounty.gov/healthservices/health/locations/famplan.aspx,Family Planning/STD Clinic,"Provides birth control, pregnancy tests, counseling about pregnancy, adoption and abortion, and sexually transmitted disease (STD) testing including HIV tests. Offers sliding scale fees. Accepts Medicaid and Take Charge.","Provides birth control, pregnancy tests, counseling about pregnancy, adoption and abortion, and sexually transmitted disease (STD) testing including HIV tests.",NULL,NULL,^Birth Control/Family Planning/Pregnancy
2219947,5602,9,Public Health - Seattle & King County - Public Health Centers,Public Health - Seattle & King County - Eastgate,14350 SE Eastgate Way,,Bellevue,98007,http://kingcounty.gov/healthservices/health/locations.aspx,Teen Clinic,http://www.teenclinic.com,Teen Clinic,"Provides confidential family planning services for youth, ages 20 and under. Offers birth control information and supplies, STD tests, including HIV, and pregnancy testing and counseling. Accepts Take Charge, Medicaid and insurance.","Provides confidential family planning services for youth, ages 20 and under. Offers birth control information and supplies, STD tests, pregnancy testing and counseling and emergency contraception.",NULL,NULL,^Health Concerns
2219951,5602,4,Public Health - Seattle & King County - Public Health Centers,Public Health - Seattle & King County - Federal Way,33431 13th Pl S,,Federal Way,98003,http://kingcounty.gov/healthservices/health/locations.aspx,Family Planning/STD Clinic,http://www.kingcounty.gov/healthservices/health/locations/famplan.aspx,Family Planning/STD Clinic,"Provides birth control, pregnancy tests, counseling about pregnancy, adoption and abortion, and sexually transmitted disease (STD) testing including HIV tests. Offers sliding scale fees. Accepts Medicaid and Take Charge.","Provides birth control, pregnancy tests, counseling about pregnancy, adoption and abortion, and sexually transmitted disease (STD) testing including HIV tests.",NULL,NULL,^Birth Control/Family Planning/Pregnancy
2219954,5602,9,Public Health - Seattle & King County - Public Health Centers,Public Health - Seattle & King County - Federal Way,33431 13th Pl S,,Federal Way,98003,http://kingcounty.gov/healthservices/health/locations.aspx,Teen Clinic,http://www.teenclinic.com,Teen Clinic,"Provides confidential family planning services for youth, ages 20 and under. Offers birth control information and supplies, STD tests, including HIV, and pregnancy testing and counseling. Accepts Take Charge, Medicaid and insurance.","Provides confidential family planning services for youth, ages 20 and under. Offers birth control information and supplies, STD tests, pregnancy testing and counseling and emergency contraception.",NULL,NULL,^Health Concerns
2219958,5602,4,Public Health - Seattle & King County - Public Health Centers,Public Health - Seattle & King County - Kent,25742 104th Ave SE,,Kent,98030,http://kingcounty.gov/healthservices/health/locations.aspx,Family Planning/STD Clinic,http://www.kingcounty.gov/healthservices/health/locations/famplan.aspx,Family Planning/STD Clinic,"Provides birth control, pregnancy tests, counseling about pregnancy, adoption and abortion, and sexually transmitted disease (STD) testing including HIV tests. Offers sliding scale fees. Accepts Medicaid and Take Charge.","Provides birth control, pregnancy tests, counseling about pregnancy, adoption and abortion, and sexually transmitted disease (STD) testing including HIV tests.",NULL,NULL,^Birth Control/Family Planning/Pregnancy
2219961,5602,9,Public Health - Seattle & King County - Public Health Centers,Public Health - Seattle & King County - Kent,25742 104th Ave SE,,Kent,98030,http://kingcounty.gov/healthservices/health/locations.aspx,Teen Clinic,http://www.teenclinic.com,Teen Clinic,"Provides confidential family planning services for youth, ages 20 and under. Offers birth control information and supplies, STD tests, including HIV, and pregnancy testing and counseling. Accepts Take Charge, Medicaid and insurance.","Provides confidential family planning services for youth, ages 20 and under. Offers birth control information and supplies, STD tests, pregnancy testing and counseling and emergency contraception.",NULL,NULL,^Health Concerns
2219963,5602,4,Public Health - Seattle & King County - Public Health Centers,Public Health - Seattle & King County - North Seattle,10501 Meridian Ave N,North Service Center,Seattle,98133,http://kingcounty.gov/healthservices/health/locations.aspx,Family Planning/STD Clinic,http://www.kingcounty.gov/healthservices/health/locations/famplan.aspx,Family Planning/STD Clinic,"Provides birth control, pregnancy tests, counseling about pregnancy, adoption and abortion, and sexually transmitted disease (STD) testing including HIV tests. Offers sliding scale fees. Accepts Medicaid and Take Charge.","Provides birth control, pregnancy tests, counseling about pregnancy, adoption and abortion, and sexually transmitted disease (STD) testing including HIV tests.",NULL,NULL,^Birth Control/Family Planning/Pregnancy
2219966,5602,9,Public Health - Seattle & King County - Public Health Centers,Public Health - Seattle & King County - North Seattle,10501 Meridian Ave N,North Service Center,Seattle,98133,http://kingcounty.gov/healthservices/health/locations.aspx,Teen Clinic,http://www.teenclinic.com,Teen Clinic,"Provides confidential family planning services for youth, ages 20 and under. Offers birth control information and supplies, STD tests, including HIV, and pregnancy testing and counseling. Accepts Take Charge, Medicaid and insurance.","Provides confidential family planning services for youth, ages 20 and under. Offers birth control information and supplies, STD tests, pregnancy testing and counseling and emergency contraception.",NULL,NULL,^Health Concerns
2219977,5602,4,Public Health - Seattle & King County - Public Health Centers,Public Health - Seattle & King County - White Center,9942 8th Ave SW,,Seattle,98106,http://kingcounty.gov/healthservices/health/locations.aspx,Family Planning/STD Clinic,http://www.kingcounty.gov/healthservices/health/locations/famplan.aspx,Family Planning/STD Clinic,"Provides birth control, pregnancy tests, counseling about pregnancy, adoption and abortion, and sexually transmitted disease (STD) testing including HIV tests. Offers sliding scale fees. Accepts Medicaid and Take Charge.","Provides birth control, pregnancy tests, counseling about pregnancy, adoption and abortion, and sexually transmitted disease (STD) testing including HIV tests.",NULL,NULL,^Birth Control/Family Planning/Pregnancy
2219979,5602,9,Public Health - Seattle & King County - Public Health Centers,Public Health - Seattle & King County - White Center,9942 8th Ave SW,,Seattle,98106,http://kingcounty.gov/healthservices/health/locations.aspx,Teen Clinic,http://www.teenclinic.com,Teen Clinic,"Provides confidential family planning services for youth, ages 20 and under. Offers birth control information and supplies, STD tests, including HIV, and pregnancy testing and counseling. Accepts Take Charge, Medicaid and insurance.","Provides confidential family planning services for youth, ages 20 and under. Offers birth control information and supplies, STD tests, pregnancy testing and counseling and emergency contraception.",NULL,NULL,^Health Concerns
2219982,5611,1,King County Department of Judicial Administration,*Main Site - King County Department of Judicial Administration - Family Violence Services,1211 E Alder St,Room S12,Seattle,98122,http://kingcounty.gov/courts/Clerk.aspx,Step-Up Youth Counseling,http://www.kingcounty.gov/courts/step-up/About.aspx,Step-Up Youth Counseling,"Provides individual and group counseling for youth, ages 13-17, who assault their parents or other family members. Participants attend one 90-minute group session per week. Groups meet in different locations in King County. No fees.","Provides individual and group counseling for youth, ages 13-17, who assault their parents or other family members. Participants attend one 90-minute group session per week. Groups meet in different locations in King County.",NULL,NULL,^At-Risk Youth;^Counseling
2219984,5611,3,King County Department of Judicial Administration,King County Department of Judicial Administration - Seattle - Office of the Superior Court Clerk - Domestic Violence Services,516 3rd Ave,Room 609,Seattle,98104,http://kingcounty.gov/courts/Clerk.aspx,Domestic Violence Information Line,http://www.kingcounty.gov/courts/Clerk/DomesticViolence.aspx,Domestic Violence Information Line,"Provides domestic violence information for victims, batterers, employers and professionals as well as information on other available services. Also provides information on the protection order process.","Provides domestic violence information for victims, batterers, employers and professionals as well as services available. The line also provides information on the protection order process. Information also available on the website.",NULL,NULL,^Dating & Domestic Violence
2219992,2194,11,Southeast Youth & Family Services,*Main Site - Southeast Youth & Family Services,3722 S Hudson St,,Seattle,98118,http://seyfs.org,Counseling,http://website.seyfs.org/?p=24,Counseling,"Provides individual and family therapy for at-risk youth needing help with emotional problems, depression, physical/sexual/emotional abuse, suicidal thoughts/threats, drug/alcohol abuse and related problems. Accepts Medicaid.","Provides individual and family therapy for at-risk youth needing help with emotional problems, depression, physical/sexual/emotional abuse, suicidal thoughts/threats, drug/alcohol abuse and related problems.","Provides individual and family therapy for  youth needing help with emotional problems, depression, physical/sexual/emotional abuse, suicidal thoughts/threats, drug/alcohol abuse and related problems. Sessions provided by highly skilled professionals at the agency, schools, client’s home or other agreed on locations. Any youth ages 2 through 20, and his /her family, who resides in King County, is eligible for services.",@&,^Counseling
2219993,2194,12,Southeast Youth & Family Services,*Main Site - Southeast Youth & Family Services,3722 S Hudson St,,Seattle,98118,http://seyfs.org,Aggression Replacement Training (ART),NULL,Aggression Replacement Training (ART),NULL,"Intensive life skills program in which the youth attends sessions to gain specific tools and knowledge around problem solving, decision making and social interactions.","Intensive life skills program in which the youth attends sessions to gain specific tools and knowledge around problem solving, decision making and social interactions. For youth ages 11 through 18 who live and/or attend school in Seattle and are enrolled in one of the other agency programs.",@&,^At-Risk Youth
2220004,5741,2,API Chaya,*Main Site - API Chaya,PO Box 14047,,Seattle,98114,http://www.apichaya.org/,Anti-Violence Youth Program,NULL,Anti-Violence Youth Program,"Offers trainings and workshops for Asian/Pacific Islander teens around issues of sexual assault, dating violence and other community-focused topics. No fees.","Offers trainings and workshops for Asian/Pacific Islander teens around issues of sexual assault, dating violence and other community-focused topics.","Offers trainings and workshops for Asian/Pacific Islander teens. Topics include dating and domestic violence, sexual assault, healthy relationships (gangs, dating, etc), anti-oppression, stereotypes, drugs/alcohol, conflict resolution, resources, and more.",&Anti-Violence Youth Program,^At-Risk Youth;^Culturally Specific Agencies;^Dating & Domestic Violence;^Don't Map This Resource;^Rape & Sexual Assault
2220005,5741,4,API Chaya,*Main Site - API Chaya,PO Box 14047,,Seattle,98114,http://www.apichaya.org/,Domestic Violence/Sexual Assault Survivor Support Group,NULL,Domestic Violence/Sexual Assault Survivor Support Group,Provides a support group for survivors of domestic violence and sexual assault. Works with primary and secondary victims. Targets the Filipino and Vietnamese communities. Offers support groups for LGBTQI Asians and Pacific Islanders.,Provides a support group for survivors of domestic violence and sexual assault. Works with primary and secondary victims. Targets the Filipino and Vietnamese communities. Offers support groups for LGBTQI Asians and Pacific Islanders.,Provides a support group for survivors of domestic violence and sexual assault. Works with primary and secondary victims. Targets the Filipino and Vietnamese communities. Also offers support groups for queer Asian and Pacific Islanders.,&Domestic Violence/Sexual Assault Survivor Support Group,^Culturally Specific Agencies;^Dating & Domestic Violence;^Don't Map This Resource;^GLBTQ;^Rape & Sexual Assault
2220006,5741,5,API Chaya,*Main Site - API Chaya,PO Box 14047,,Seattle,98114,http://www.apichaya.org/,Helpline,NULL,Helpline,Operates a helpline for Asian and Pacific Islander women victims of domestic violence or human trafficking. Helps with obtaining protection orders; accompanies clients to meetings with lawyers; helps negotiate public assistance benefits.,Operates a helpline for Asian and Pacific Islander women victims of domestic violence or human trafficking. Helps with obtaining protection orders; accompanies clients to meetings with lawyers; helps negotiate public assistance benefits.,"Operates a helpline for South Asian women victims of domestic violence. Provides culturally and language specific information and assistance; helps with obtaining protection orders and accessing shelters, medical clinics, counseling services, legal and immigration services, and other organizations serving South Asians.",&Domestic Violence Helpline,^Culturally Specific Agencies;^Dating & Domestic Violence;^Don't Map This Resource;^Rape & Sexual Assault
2220009,5827,2,Street Youth Ministries,*Main Site - Street Youth Ministries,4540 15th Ave NE,University Presbyterian Church,Seattle,98105,http://streetyouthministries.org,Drop-In Center,NULL,Drop-In Center,"Operates a daily drop-in center for homeless youth and young adults, ages 13 through 26, with showers, phone, laundry, blankets, clothing and meals.","Operates a daily drop-in center for homeless youth and young adults, ages 13 through 26, with showers, phone, laundry, blankets, clothing and meals.","Operates a daily drop-in center for homeless youth and young adults, ages 13 through 26, with showers, phone, laundry, blankets, clothing, meals, and case management. Offers a hot meal once a week. Offers referrals and transportation to shelters.",@&,"^Homelessness & Runaways, Drop-In Centers"
2220045,6733,7,Horn of Africa Services,*Main Site - Horn of Africa Services - Rainier,4714 Rainier Ave S,Suite 105,Seattle,98118,http://hoas.org,After-School/Summer Program,NULL,After-School/Summer Program,"Provides a volunteer staffed after-school/summer program for East African youth. Offers homework help and mentoring. Targets children of refugees and immigrants from Ethiopia, Eritrea, Somalia, Sudan and other East African nations. No fees.","Provides an after-school and summer program for East African youth staffed by volunteers. Offers homework help, math enrichment and mentoring.","Provides an after-school and summer program for East African youth, grades 3-12, staffed by volunteers. Offers homework help, math enrichment and mentoring. Targets children of refugees and immigrants from Djibouti, Ethiopia, Eritrea, Somalia, Sudan and neighboring East African countries.",Horn of Africa After School/Summer Program,^Culturally Specific Agencies;^Education;^Recreation & Youth Involvement
2220047,6733,7,Horn of Africa Services,Horn of Africa Services - Rainier Vista,4410 29th Ave S,,Seattle,98108,http://hoas.org,After-School/Summer Program,NULL,After-School/Summer Program,"Provides a volunteer staffed after-school/summer program for East African youth. Offers homework help and mentoring. Targets children of refugees and immigrants from Ethiopia, Eritrea, Somalia, Sudan and other East African nations. No fees.","Provides an after-school and summer program for East African youth staffed by volunteers. Offers homework help, math enrichment and mentoring.","Provides an after-school and summer program for East African youth, grades 3-12, staffed by volunteers. Offers homework help, math enrichment and mentoring. Targets children of refugees and immigrants from Djibouti, Ethiopia, Eritrea, Somalia, Sudan and neighboring East African countries.",Horn of Africa After School/Summer Program,^Culturally Specific Agencies;^Education;^Recreation & Youth Involvement
2220050,6733,7,Horn of Africa Services,Horn of Africa Services - NewHolly,7058 32nd Ave S,,Seattle,98118,http://hoas.org,After-School/Summer Program,NULL,After-School/Summer Program,"Provides a volunteer staffed after-school/summer program for East African youth. Offers homework help and mentoring. Targets children of refugees and immigrants from Ethiopia, Eritrea, Somalia, Sudan and other East African nations. No fees.","Provides an after-school and summer program for East African youth staffed by volunteers. Offers homework help, math enrichment and mentoring.","Provides an after-school and summer program for East African youth, grades 3-12, staffed by volunteers. Offers homework help, math enrichment and mentoring. Targets children of refugees and immigrants from Djibouti, Ethiopia, Eritrea, Somalia, Sudan and neighboring East African countries.",Horn of Africa After School/Summer Program,^Culturally Specific Agencies;^Education;^Recreation & Youth Involvement
